,name,forwards,midfielders,defenders,round,year,total_points
6,5-3-2,26,46,55,38,2018-19,127
7,5-4-1,13,59,55,38,2018-19,127
0,3-4-3,39,55,37,1,2019-20,131
1,3-5-2,26,64,37,1,2019-20,127
2,4-3-3,39,46,47,1,2019-20,132
3,4-4-2,26,55,47,1,2019-20,128
4,4-5-1,13,64,47,1,2019-20,124
5,5-2-3,39,34,56,1,2019-20,129
6,5-3-2,26,46,56,1,2019-20,128
7,5-4-1,13,55,56,1,2019-20,124
0,3-4-3,33,47,32,2,2019-20,112
1,3-5-2,25,58,32,2,2019-20,115
2,4-3-3,33,36,39,2,2019-20,108
3,4-4-2,25,47,39,2,2019-20,111
4,4-5-1,17,58,39,2,2019-20,114
5,5-2-3,33,25,45,2,2019-20,103
6,5-3-2,25,36,45,2,2019-20,106
7,5-4-1,17,47,45,2,2019-20,109
0,3-4-3,39,44,28,3,2019-20,111
1,3-5-2,26,52,28,3,2019-20,106
2,4-3-3,39,35,37,3,2019-20,111
3,4-4-2,26,44,37,3,2019-20,107
4,4-5-1,13,52,37,3,2019-20,102
5,5-2-3,39,25,45,3,2019-20,109
6,5-3-2,26,35,45,3,2019-20,106
7,5-4-1,13,44,45,3,2019-20,102
0,3-4-3,45,51,34,4,2019-20,130
1,3-5-2,32,61,34,4,2019-20,127
2,4-3-3,45,40,42,4,2019-20,127
3,4-4-2,32,51,42,4,2019-20,125
4,4-5-1,16,61,42,4,2019-20,119
5,5-2-3,45,28,50,4,2019-20,123
6,5-3-2,32,40,50,4,2019-20,122
7,5-4-1,16,51,50,4,2019-20,117
0,3-4-3,40,53,33,5,2019-20,126
1,3-5-2,27,62,33,5,2019-20,122
2,4-3-3,40,42,41,5,2019-20,123
3,4-4-2,27,53,41,5,2019-20,121
4,4-5-1,14,62,41,5,2019-20,117
5,5-2-3,40,31,49,5,2019-20,120
6,5-3-2,27,42,49,5,2019-20,118
7,5-4-1,14,53,49,5,2019-20,116
0,3-4-3,31,62,41,6,2019-20,134
1,3-5-2,22,73,41,6,2019-20,136
2,4-3-3,31,51,50,6,2019-20,132
3,4-4-2,22,62,50,6,2019-20,134
4,4-5-1,13,73,50,6,2019-20,136
5,5-2-3,31,36,58,6,2019-20,125
6,5-3-2,22,51,58,6,2019-20,131
7,5-4-1,13,62,58,6,2019-20,133
0,3-4-3,33,41,39,7,2019-20,113
1,3-5-2,24,51,39,7,2019-20,114
2,4-3-3,33,31,48,7,2019-20,112
3,4-4-2,24,41,48,7,2019-20,113
4,4-5-1,12,51,48,7,2019-20,111
5,5-2-3,33,21,57,7,2019-20,111
6,5-3-2,24,31,57,7,2019-20,112
7,5-4-1,12,41,57,7,2019-20,110
0,3-4-3,37,52,37,8,2019-20,126
1,3-5-2,27,62,37,8,2019-20,126
2,4-3-3,37,41,46,8,2019-20,124
3,4-4-2,27,52,46,8,2019-20,125
4,4-5-1,14,62,46,8,2019-20,122
5,5-2-3,37,29,55,8,2019-20,121
6,5-3-2,27,41,55,8,2019-20,123
7,5-4-1,14,52,55,8,2019-20,121
0,3-4-3,26,45,37,9,2019-20,108
1,3-5-2,18,54,37,9,2019-20,109
2,4-3-3,26,35,47,9,2019-20,108
3,4-4-2,18,45,47,9,2019-20,110
4,4-5-1,9,54,47,9,2019-20,110
5,5-2-3,26,24,56,9,2019-20,106
6,5-3-2,18,35,56,9,2019-20,109
7,5-4-1,9,45,56,9,2019-20,110
0,3-4-3,38,63,37,10,2019-20,138
1,3-5-2,29,74,37,10,2019-20,140
2,4-3-3,38,52,45,10,2019-20,135
3,4-4-2,29,63,45,10,2019-20,137
4,4-5-1,20,74,45,10,2019-20,139
5,5-2-3,38,40,53,10,2019-20,131
6,5-3-2,29,52,53,10,2019-20,134
7,5-4-1,20,63,53,10,2019-20,136
0,3-4-3,34,41,49,11,2019-20,124
1,3-5-2,25,50,49,11,2019-20,124
2,4-3-3,34,32,61,11,2019-20,127
3,4-4-2,25,41,61,11,2019-20,127
4,4-5-1,13,50,61,11,2019-20,124
5,5-2-3,34,23,73,11,2019-20,130
6,5-3-2,25,32,73,11,2019-20,130
7,5-4-1,13,41,73,11,2019-20,127
0,3-4-3,33,41,31,12,2019-20,105
1,3-5-2,24,51,31,12,2019-20,106
2,4-3-3,33,31,39,12,2019-20,103
3,4-4-2,24,41,39,12,2019-20,104
4,4-5-1,12,51,39,12,2019-20,102
5,5-2-3,33,21,47,12,2019-20,101
6,5-3-2,24,31,47,12,2019-20,102
7,5-4-1,12,41,47,12,2019-20,100
0,3-4-3,35,50,34,13,2019-20,119
1,3-5-2,24,60,34,13,2019-20,118
2,4-3-3,35,40,42,13,2019-20,117
3,4-4-2,24,50,42,13,2019-20,116
4,4-5-1,12,60,42,13,2019-20,114
5,5-2-3,35,27,49,13,2019-20,111
6,5-3-2,24,40,49,13,2019-20,113
7,5-4-1,12,50,49,13,2019-20,111
0,3-4-3,33,48,41,14,2019-20,122
1,3-5-2,24,58,41,14,2019-20,123
2,4-3-3,33,38,51,14,2019-20,122
3,4-4-2,24,48,51,14,2019-20,123
4,4-5-1,13,58,51,14,2019-20,122
5,5-2-3,33,27,59,14,2019-20,119
6,5-3-2,24,38,59,14,2019-20,121
7,5-4-1,13,48,59,14,2019-20,120
0,3-4-3,39,46,33,15,2019-20,118
1,3-5-2,26,55,33,15,2019-20,114
2,4-3-3,39,36,41,15,2019-20,116
3,4-4-2,26,46,41,15,2019-20,113
4,4-5-1,13,55,41,15,2019-20,109
5,5-2-3,39,26,49,15,2019-20,114
6,5-3-2,26,36,49,15,2019-20,111
7,5-4-1,13,46,49,15,2019-20,108
0,3-4-3,42,51,34,16,2019-20,127
1,3-5-2,29,61,34,16,2019-20,124
2,4-3-3,42,39,43,16,2019-20,124
3,4-4-2,29,51,43,16,2019-20,123
4,4-5-1,16,61,43,16,2019-20,120
5,5-2-3,42,27,51,16,2019-20,120
6,5-3-2,29,39,51,16,2019-20,119
7,5-4-1,16,51,51,16,2019-20,118
0,3-4-3,27,60,29,17,2019-20,116
1,3-5-2,18,70,29,17,2019-20,117
2,4-3-3,27,50,37,17,2019-20,114
3,4-4-2,18,60,37,17,2019-20,115
4,4-5-1,9,70,37,17,2019-20,116
5,5-2-3,27,35,45,17,2019-20,107
6,5-3-2,18,50,45,17,2019-20,113
7,5-4-1,9,60,45,17,2019-20,114
0,3-4-3,30,49,32,18,2019-20,111
1,3-5-2,22,57,32,18,2019-20,111
2,4-3-3,30,39,41,18,2019-20,110
3,4-4-2,22,49,41,18,2019-20,112
4,4-5-1,13,57,41,18,2019-20,111
5,5-2-3,30,29,50,18,2019-20,109
6,5-3-2,22,39,50,18,2019-20,111
7,5-4-1,13,49,50,18,2019-20,112
0,3-4-3,35,48,46,19,2019-20,129
1,3-5-2,24,57,46,19,2019-20,127
2,4-3-3,35,38,55,19,2019-20,128
3,4-4-2,24,48,55,19,2019-20,127
4,4-5-1,12,57,55,19,2019-20,124
5,5-2-3,35,28,63,19,2019-20,126
6,5-3-2,24,38,63,19,2019-20,125
7,5-4-1,12,48,63,19,2019-20,123
0,3-4-3,33,46,26,20,2019-20,105
1,3-5-2,24,56,26,20,2019-20,106
2,4-3-3,33,36,34,20,2019-20,103
3,4-4-2,24,46,34,20,2019-20,104
4,4-5-1,12,56,34,20,2019-20,102
5,5-2-3,33,25,42,20,2019-20,100
6,5-3-2,24,36,42,20,2019-20,102
7,5-4-1,12,46,42,20,2019-20,100
0,3-4-3,34,53,38,21,2019-20,125
1,3-5-2,25,63,38,21,2019-20,126
2,4-3-3,34,42,49,21,2019-20,125
3,4-4-2,25,53,49,21,2019-20,127
4,4-5-1,13,63,49,21,2019-20,125
5,5-2-3,34,29,60,21,2019-20,123
6,5-3-2,25,42,60,21,2019-20,127
7,5-4-1,13,53,60,21,2019-20,126
0,3-4-3,42,52,35,22,2019-20,129
1,3-5-2,32,62,35,22,2019-20,129
2,4-3-3,42,42,45,22,2019-20,129
3,4-4-2,32,52,45,22,2019-20,129
4,4-5-1,20,62,45,22,2019-20,127
5,5-2-3,42,31,53,22,2019-20,126
6,5-3-2,32,42,53,22,2019-20,127
7,5-4-1,20,52,53,22,2019-20,125
0,3-4-3,35,40,34,23,2019-20,109
1,3-5-2,26,49,34,23,2019-20,109
2,4-3-3,35,30,42,23,2019-20,107
3,4-4-2,26,40,42,23,2019-20,108
4,4-5-1,13,49,42,23,2019-20,104
5,5-2-3,35,20,50,23,2019-20,105
6,5-3-2,26,30,50,23,2019-20,106
7,5-4-1,13,40,50,23,2019-20,103
0,3-4-3,30,55,37,24,2019-20,122
1,3-5-2,21,68,37,24,2019-20,126
2,4-3-3,30,42,47,24,2019-20,119
3,4-4-2,21,55,47,24,2019-20,123
4,4-5-1,12,68,47,24,2019-20,127
5,5-2-3,30,29,56,24,2019-20,115
6,5-3-2,21,42,56,24,2019-20,119
7,5-4-1,12,55,56,24,2019-20,123
0,3-4-3,25,57,40,25,2019-20,122
1,3-5-2,19,67,40,25,2019-20,126
2,4-3-3,25,47,49,25,2019-20,121
3,4-4-2,19,57,49,25,2019-20,125
4,4-5-1,11,67,49,25,2019-20,127
5,5-2-3,25,34,58,25,2019-20,117
6,5-3-2,19,47,58,25,2019-20,124
7,5-4-1,11,57,58,25,2019-20,126
0,3-4-3,29,57,34,26,2019-20,120
1,3-5-2,20,67,34,26,2019-20,121
2,4-3-3,29,44,43,26,2019-20,116
3,4-4-2,20,57,43,26,2019-20,120
4,4-5-1,11,67,43,26,2019-20,121
5,5-2-3,29,31,51,26,2019-20,111
6,5-3-2,20,44,51,26,2019-20,115
7,5-4-1,11,57,51,26,2019-20,119
0,3-4-3,38,46,36,27,2019-20,120
1,3-5-2,29,55,36,27,2019-20,120
2,4-3-3,38,37,46,27,2019-20,121
3,4-4-2,29,46,46,27,2019-20,121
4,4-5-1,16,55,46,27,2019-20,117
5,5-2-3,38,28,56,27,2019-20,122
6,5-3-2,29,37,56,27,2019-20,122
7,5-4-1,16,46,56,27,2019-20,118
0,3-4-3,32,49,43,28,2019-20,124
1,3-5-2,23,58,43,28,2019-20,124
2,4-3-3,32,40,54,28,2019-20,126
3,4-4-2,23,49,54,28,2019-20,126
4,4-5-1,12,58,54,28,2019-20,124
5,5-2-3,32,30,62,28,2019-20,124
6,5-3-2,23,40,62,28,2019-20,125
7,5-4-1,12,49,62,28,2019-20,123
0,3-4-3,29,57,29,29,2019-20,115
1,3-5-2,20,69,29,29,2019-20,118
2,4-3-3,29,45,37,29,2019-20,111
3,4-4-2,20,57,37,29,2019-20,114
4,4-5-1,11,69,37,29,2019-20,117
5,5-2-3,29,32,45,29,2019-20,106
6,5-3-2,20,45,45,29,2019-20,110
7,5-4-1,11,57,45,29,2019-20,113
0,3-4-3,28,58,42,30,2019-20,128
1,3-5-2,20,69,42,30,2019-20,131
2,4-3-3,28,45,53,30,2019-20,126
3,4-4-2,20,58,53,30,2019-20,131
4,4-5-1,11,69,53,30,2019-20,133
5,5-2-3,28,31,64,30,2019-20,123
6,5-3-2,20,45,64,30,2019-20,129
7,5-4-1,11,58,64,30,2019-20,133
0,3-4-3,26,56,41,31,2019-20,123
1,3-5-2,18,65,41,31,2019-20,124
2,4-3-3,26,46,52,31,2019-20,124
3,4-4-2,18,56,52,31,2019-20,126
4,4-5-1,9,65,52,31,2019-20,126
5,5-2-3,26,35,63,31,2019-20,124
6,5-3-2,18,46,63,31,2019-20,127
7,5-4-1,9,56,63,31,2019-20,128
0,3-4-3,41,60,37,32,2019-20,138
1,3-5-2,29,74,37,32,2019-20,140
2,4-3-3,41,46,44,32,2019-20,131
3,4-4-2,29,60,44,32,2019-20,133
4,4-5-1,16,74,44,32,2019-20,134
5,5-2-3,41,31,51,32,2019-20,123
6,5-3-2,29,46,51,32,2019-20,126
7,5-4-1,16,60,51,32,2019-20,127
0,3-4-3,35,53,33,33,2019-20,121
1,3-5-2,26,64,33,33,2019-20,123
2,4-3-3,35,42,41,33,2019-20,118
3,4-4-2,26,53,41,33,2019-20,120
4,4-5-1,13,64,41,33,2019-20,118
5,5-2-3,35,29,49,33,2019-20,113
6,5-3-2,26,42,49,33,2019-20,117
7,5-4-1,13,53,49,33,2019-20,115
0,3-4-3,27,60,35,34,2019-20,122
1,3-5-2,18,70,35,34,2019-20,123
2,4-3-3,27,49,43,34,2019-20,119
3,4-4-2,18,60,43,34,2019-20,121
4,4-5-1,9,70,43,34,2019-20,122
5,5-2-3,27,35,51,34,2019-20,113
6,5-3-2,18,49,51,34,2019-20,118
7,5-4-1,9,60,51,34,2019-20,120
0,3-4-3,40,76,31,35,2019-20,147
1,3-5-2,27,89,31,35,2019-20,147
2,4-3-3,40,63,40,35,2019-20,143
3,4-4-2,27,76,40,35,2019-20,143
4,4-5-1,14,89,40,35,2019-20,143
5,5-2-3,40,47,49,35,2019-20,136
6,5-3-2,27,63,49,35,2019-20,139
7,5-4-1,14,76,49,35,2019-20,139
0,3-4-3,35,39,30,36,2019-20,104
1,3-5-2,24,47,30,36,2019-20,101
2,4-3-3,35,31,39,36,2019-20,105
3,4-4-2,24,39,39,36,2019-20,102
4,4-5-1,12,47,39,36,2019-20,98
5,5-2-3,35,23,47,36,2019-20,105
6,5-3-2,24,31,47,36,2019-20,102
7,5-4-1,12,39,47,36,2019-20,98
0,3-4-3,30,47,38,37,2019-20,115
1,3-5-2,22,56,38,37,2019-20,116
2,4-3-3,30,37,50,37,2019-20,117
3,4-4-2,22,47,50,37,2019-20,119
4,4-5-1,13,56,50,37,2019-20,119
5,5-2-3,30,27,62,37,2019-20,119
6,5-3-2,22,37,62,37,2019-20,121
7,5-4-1,13,47,62,37,2019-20,122
0,3-4-3,41,54,32,38,2019-20,127
1,3-5-2,29,63,32,38,2019-20,124
2,4-3-3,41,44,41,38,2019-20,126
3,4-4-2,29,54,41,38,2019-20,124
4,4-5-1,16,63,41,38,2019-20,120
5,5-2-3,41,33,49,38,2019-20,123
6,5-3-2,29,44,49,38,2019-20,122
7,5-4-1,16,54,49,38,2019-20,119
0,3-4-3,29,60,44,1,2020-21,133
1,3-5-2,21,69,44,1,2020-21,134
2,4-3-3,29,48,58,1,2020-21,135
3,4-4-2,21,60,58,1,2020-21,139
4,4-5-1,13,69,58,1,2020-21,140
5,5-2-3,29,34,70,1,2020-21,133
6,5-3-2,21,48,70,1,2020-21,139
7,5-4-1,13,60,70,1,2020-21,143
0,3-4-3,54,69,34,2,2020-21,157
1,3-5-2,38,82,34,2,2020-21,154
2,4-3-3,54,55,41,2,2020-21,150
3,4-4-2,38,69,41,2,2020-21,148
4,4-5-1,21,82,41,2,2020-21,144
5,5-2-3,54,40,48,2,2020-21,142
6,5-3-2,38,55,48,2,2020-21,141
7,5-4-1,21,69,48,2,2020-21,138
0,3-4-3,39,53,34,3,2020-21,126
1,3-5-2,30,65,34,3,2020-21,129
2,4-3-3,39,41,42,3,2020-21,122
3,4-4-2,30,53,42,3,2020-21,125
4,4-5-1,17,65,42,3,2020-21,124
5,5-2-3,39,29,50,3,2020-21,118
6,5-3-2,30,41,50,3,2020-21,121
7,5-4-1,17,53,50,3,2020-21,120
0,3-4-3,51,75,46,4,2020-21,172
1,3-5-2,35,88,46,4,2020-21,169
2,4-3-3,51,60,58,4,2020-21,169
3,4-4-2,35,75,58,4,2020-21,168
4,4-5-1,19,88,58,4,2020-21,165
5,5-2-3,51,42,69,4,2020-21,162
6,5-3-2,35,60,69,4,2020-21,164
7,5-4-1,19,75,69,4,2020-21,163
0,3-4-3,43,50,28,5,2020-21,121
1,3-5-2,32,61,28,5,2020-21,121
2,4-3-3,43,39,36,5,2020-21,118
3,4-4-2,32,50,36,5,2020-21,118
4,4-5-1,16,61,36,5,2020-21,113
5,5-2-3,43,28,44,5,2020-21,115
6,5-3-2,32,39,44,5,2020-21,115
7,5-4-1,16,50,44,5,2020-21,110
0,3-4-3,36,44,25,6,2020-21,105
1,3-5-2,27,53,25,6,2020-21,105
2,4-3-3,36,35,33,6,2020-21,104
3,4-4-2,27,44,33,6,2020-21,104
4,4-5-1,17,53,33,6,2020-21,103
5,5-2-3,36,24,40,6,2020-21,100
6,5-3-2,27,35,40,6,2020-21,102
7,5-4-1,17,44,40,6,2020-21,101
0,3-4-3,34,61,45,7,2020-21,140
1,3-5-2,26,71,45,7,2020-21,142
2,4-3-3,34,47,59,7,2020-21,140
3,4-4-2,26,61,59,7,2020-21,146
4,4-5-1,14,71,59,7,2020-21,144
5,5-2-3,34,32,71,7,2020-21,137
6,5-3-2,26,47,71,7,2020-21,144
7,5-4-1,14,61,71,7,2020-21,146
0,3-4-3,31,51,32,8,2020-21,114
1,3-5-2,22,60,32,8,2020-21,114
2,4-3-3,31,41,41,8,2020-21,113
3,4-4-2,22,51,41,8,2020-21,114
4,4-5-1,13,60,41,8,2020-21,114
5,5-2-3,31,30,49,8,2020-21,110
6,5-3-2,22,41,49,8,2020-21,112
7,5-4-1,13,51,49,8,2020-21,113
0,3-4-3,31,41,30,9,2020-21,102
1,3-5-2,22,50,30,9,2020-21,102
2,4-3-3,31,32,38,9,2020-21,101
3,4-4-2,22,41,38,9,2020-21,101
4,4-5-1,13,50,38,9,2020-21,101
5,5-2-3,31,22,46,9,2020-21,99
6,5-3-2,22,32,46,9,2020-21,100
7,5-4-1,13,41,46,9,2020-21,100
0,3-4-3,38,58,32,10,2020-21,128
1,3-5-2,27,68,32,10,2020-21,127
2,4-3-3,38,47,40,10,2020-21,125
3,4-4-2,27,58,40,10,2020-21,125
4,4-5-1,15,68,40,10,2020-21,123
5,5-2-3,38,34,48,10,2020-21,120
6,5-3-2,27,47,48,10,2020-21,122
7,5-4-1,15,58,48,10,2020-21,121
0,3-4-3,33,59,31,11,2020-21,123
1,3-5-2,25,72,31,11,2020-21,128
2,4-3-3,33,46,38,11,2020-21,117
3,4-4-2,25,59,38,11,2020-21,122
4,4-5-1,13,72,38,11,2020-21,123
5,5-2-3,33,32,44,11,2020-21,109
6,5-3-2,25,46,44,11,2020-21,115
7,5-4-1,13,59,44,11,2020-21,116
0,3-4-3,31,45,34,12,2020-21,110
1,3-5-2,22,54,34,12,2020-21,110
2,4-3-3,31,36,43,12,2020-21,110
3,4-4-2,22,45,43,12,2020-21,110
4,4-5-1,13,54,43,12,2020-21,110
5,5-2-3,31,27,51,12,2020-21,109
6,5-3-2,22,36,51,12,2020-21,109
7,5-4-1,13,45,51,12,2020-21,109
0,3-4-3,35,46,31,13,2020-21,112
1,3-5-2,25,55,31,13,2020-21,111
2,4-3-3,35,36,39,13,2020-21,110
3,4-4-2,25,46,39,13,2020-21,110
4,4-5-1,13,55,39,13,2020-21,107
5,5-2-3,35,26,47,13,2020-21,108
6,5-3-2,25,36,47,13,2020-21,108
7,5-4-1,13,46,47,13,2020-21,106
0,3-4-3,41,67,35,14,2020-21,143
1,3-5-2,29,80,35,14,2020-21,144
2,4-3-3,41,51,45,14,2020-21,137
3,4-4-2,29,67,45,14,2020-21,141
4,4-5-1,16,80,45,14,2020-21,141
5,5-2-3,41,35,54,14,2020-21,130
6,5-3-2,29,51,54,14,2020-21,134
7,5-4-1,16,67,54,14,2020-21,137
0,3-4-3,27,47,34,15,2020-21,108
1,3-5-2,19,58,34,15,2020-21,111
2,4-3-3,27,36,43,15,2020-21,106
3,4-4-2,19,47,43,15,2020-21,109
4,4-5-1,11,58,43,15,2020-21,112
5,5-2-3,27,25,52,15,2020-21,104
6,5-3-2,19,36,52,15,2020-21,107
7,5-4-1,11,47,52,15,2020-21,110
0,3-4-3,24,31,39,16,2020-21,94
1,3-5-2,16,38,39,16,2020-21,93
2,4-3-3,24,24,48,16,2020-21,96
3,4-4-2,16,31,48,16,2020-21,95
4,4-5-1,8,38,48,16,2020-21,94
5,5-2-3,24,16,57,16,2020-21,97
6,5-3-2,16,24,57,16,2020-21,97
7,5-4-1,8,31,57,16,2020-21,96
0,3-4-3,33,51,42,17,2020-21,126
1,3-5-2,24,62,42,17,2020-21,128
2,4-3-3,33,40,52,17,2020-21,125
3,4-4-2,24,51,52,17,2020-21,127
4,4-5-1,12,62,52,17,2020-21,126
5,5-2-3,33,27,60,17,2020-21,120
6,5-3-2,24,40,60,17,2020-21,124
7,5-4-1,12,51,60,17,2020-21,123
0,3-4-3,15,38,28,18,2020-21,81
1,3-5-2,13,45,28,18,2020-21,86
2,4-3-3,15,30,36,18,2020-21,81
3,4-4-2,13,38,36,18,2020-21,87
4,4-5-1,8,45,36,18,2020-21,89
5,5-2-3,15,22,44,18,2020-21,81
6,5-3-2,13,30,44,18,2020-21,87
7,5-4-1,8,38,44,18,2020-21,90
0,3-4-3,27,53,45,19,2020-21,125
1,3-5-2,18,64,45,19,2020-21,127
2,4-3-3,27,42,57,19,2020-21,126
3,4-4-2,18,53,57,19,2020-21,128
4,4-5-1,9,64,57,19,2020-21,130
5,5-2-3,27,30,68,19,2020-21,125
6,5-3-2,18,42,68,19,2020-21,128
7,5-4-1,9,53,68,19,2020-21,130
