,name,forwards,midfielders,defenders,round,year,total_points
0,3-4-3,26,57,40,20,2020-21,123
1,3-5-2,19,70,40,20,2020-21,129
2,4-3-3,26,44,49,20,2020-21,119
3,4-4-2,19,57,49,20,2020-21,125
4,4-5-1,11,70,49,20,2020-21,130
5,5-2-3,26,30,57,20,2020-21,113
6,5-3-2,19,44,57,20,2020-21,120
7,5-4-1,11,57,57,20,2020-21,125
0,3-4-3,37,49,40,21,2020-21,126
1,3-5-2,28,58,40,21,2020-21,126
2,4-3-3,37,39,49,21,2020-21,125
3,4-4-2,28,49,49,21,2020-21,126
4,4-5-1,15,58,49,21,2020-21,122
5,5-2-3,37,28,58,21,2020-21,123
6,5-3-2,28,39,58,21,2020-21,125
7,5-4-1,15,49,58,21,2020-21,122
0,3-4-3,31,54,40,22,2020-21,125
1,3-5-2,22,65,40,22,2020-21,127
2,4-3-3,31,43,48,22,2020-21,122
3,4-4-2,22,54,48,22,2020-21,124
4,4-5-1,13,65,48,22,2020-21,126
5,5-2-3,31,32,56,22,2020-21,119
6,5-3-2,22,43,56,22,2020-21,121
7,5-4-1,13,54,56,22,2020-21,123
0,3-4-3,31,54,30,23,2020-21,115
1,3-5-2,22,64,30,23,2020-21,116
2,4-3-3,31,44,39,23,2020-21,114
3,4-4-2,22,54,39,23,2020-21,115
4,4-5-1,12,64,39,23,2020-21,115
5,5-2-3,31,31,48,23,2020-21,110
6,5-3-2,22,44,48,23,2020-21,114
7,5-4-1,12,54,48,23,2020-21,114
0,3-4-3,33,65,40,24,2020-21,138
1,3-5-2,24,77,40,24,2020-21,141
2,4-3-3,33,52,51,24,2020-21,136
3,4-4-2,24,65,51,24,2020-21,140
4,4-5-1,13,77,51,24,2020-21,141
5,5-2-3,33,39,60,24,2020-21,132
6,5-3-2,24,52,60,24,2020-21,136
7,5-4-1,13,65,60,24,2020-21,138
0,3-4-3,24,48,33,25,2020-21,105
1,3-5-2,16,58,33,25,2020-21,107
2,4-3-3,24,37,41,25,2020-21,102
3,4-4-2,16,48,41,25,2020-21,105
4,4-5-1,8,58,41,25,2020-21,107
5,5-2-3,24,25,49,25,2020-21,98
6,5-3-2,16,37,49,25,2020-21,102
7,5-4-1,8,48,49,25,2020-21,105
0,3-4-3,31,54,36,26,2020-21,121
1,3-5-2,22,65,36,26,2020-21,123
2,4-3-3,31,43,46,26,2020-21,120
3,4-4-2,22,54,46,26,2020-21,122
4,4-5-1,13,65,46,26,2020-21,124
5,5-2-3,31,31,56,26,2020-21,118
6,5-3-2,22,43,56,26,2020-21,121
7,5-4-1,13,54,56,26,2020-21,123
0,3-4-3,37,57,39,27,2020-21,133
1,3-5-2,28,68,39,27,2020-21,135
2,4-3-3,37,46,49,27,2020-21,132
3,4-4-2,28,57,49,27,2020-21,134
4,4-5-1,19,68,49,27,2020-21,136
5,5-2-3,37,32,58,27,2020-21,127
6,5-3-2,28,46,58,27,2020-21,132
7,5-4-1,19,57,58,27,2020-21,134
0,3-4-3,38,41,36,28,2020-21,115
1,3-5-2,30,49,36,28,2020-21,115
2,4-3-3,38,31,45,28,2020-21,114
3,4-4-2,30,41,45,28,2020-21,116
4,4-5-1,17,49,45,28,2020-21,111
5,5-2-3,38,21,54,28,2020-21,113
6,5-3-2,30,31,54,28,2020-21,115
7,5-4-1,17,41,54,28,2020-21,112
0,3-4-3,30,43,25,29,2020-21,98
1,3-5-2,22,51,25,29,2020-21,98
2,4-3-3,30,35,31,29,2020-21,96
3,4-4-2,22,43,31,29,2020-21,96
4,4-5-1,11,51,31,29,2020-21,93
5,5-2-3,30,26,37,29,2020-21,93
6,5-3-2,22,35,37,29,2020-21,94
7,5-4-1,11,43,37,29,2020-21,91
0,3-4-3,35,61,38,30,2020-21,134
1,3-5-2,24,73,38,30,2020-21,135
2,4-3-3,35,48,45,30,2020-21,128
3,4-4-2,24,61,45,30,2020-21,130
4,4-5-1,13,73,45,30,2020-21,131
5,5-2-3,35,35,52,30,2020-21,122
6,5-3-2,24,48,52,30,2020-21,124
7,5-4-1,13,61,52,30,2020-21,126
0,3-4-3,37,53,37,31,2020-21,127
1,3-5-2,26,64,37,31,2020-21,127
2,4-3-3,37,41,46,31,2020-21,124
3,4-4-2,26,53,46,31,2020-21,125
4,4-5-1,13,64,46,31,2020-21,123
5,5-2-3,37,29,54,31,2020-21,120
6,5-3-2,26,41,54,31,2020-21,121
7,5-4-1,13,53,54,31,2020-21,120
0,3-4-3,31,51,36,32,2020-21,118
1,3-5-2,22,61,36,32,2020-21,119
2,4-3-3,31,41,44,32,2020-21,116
3,4-4-2,22,51,44,32,2020-21,117
4,4-5-1,12,61,44,32,2020-21,117
5,5-2-3,31,30,52,32,2020-21,113
6,5-3-2,22,41,52,32,2020-21,115
7,5-4-1,12,51,52,32,2020-21,115
0,3-4-3,40,39,30,33,2020-21,109
1,3-5-2,32,48,30,33,2020-21,110
2,4-3-3,40,30,39,33,2020-21,109
3,4-4-2,32,39,39,33,2020-21,110
4,4-5-1,20,48,39,33,2020-21,107
5,5-2-3,40,21,47,33,2020-21,108
6,5-3-2,32,30,47,33,2020-21,109
7,5-4-1,20,39,47,33,2020-21,106
0,3-4-3,33,61,36,34,2020-21,130
1,3-5-2,25,72,36,34,2020-21,133
2,4-3-3,33,49,44,34,2020-21,126
3,4-4-2,25,61,44,34,2020-21,130
4,4-5-1,13,72,44,34,2020-21,129
5,5-2-3,33,37,52,34,2020-21,122
6,5-3-2,25,49,52,34,2020-21,126
7,5-4-1,13,61,52,34,2020-21,126
0,3-4-3,39,46,34,35,2020-21,119
1,3-5-2,26,56,34,35,2020-21,116
2,4-3-3,39,36,43,35,2020-21,118
3,4-4-2,26,46,43,35,2020-21,115
4,4-5-1,13,56,43,35,2020-21,112
5,5-2-3,39,25,52,35,2020-21,116
6,5-3-2,26,36,52,35,2020-21,114
7,5-4-1,13,46,52,35,2020-21,111
0,3-4-3,30,61,35,36,2020-21,126
1,3-5-2,21,71,35,36,2020-21,127
2,4-3-3,30,50,45,36,2020-21,125
3,4-4-2,21,61,45,36,2020-21,127
4,4-5-1,12,71,45,36,2020-21,128
5,5-2-3,30,36,51,36,2020-21,117
6,5-3-2,21,50,51,36,2020-21,122
7,5-4-1,12,61,51,36,2020-21,124
0,3-4-3,30,46,38,37,2020-21,114
1,3-5-2,21,55,38,37,2020-21,114
2,4-3-3,30,36,47,37,2020-21,113
3,4-4-2,21,46,47,37,2020-21,114
4,4-5-1,12,55,47,37,2020-21,114
5,5-2-3,30,26,55,37,2020-21,111
6,5-3-2,21,36,55,37,2020-21,112
7,5-4-1,12,46,55,37,2020-21,113
0,3-4-3,33,64,37,38,2020-21,134
1,3-5-2,23,77,37,38,2020-21,137
2,4-3-3,33,51,47,38,2020-21,131
3,4-4-2,23,64,47,38,2020-21,134
4,4-5-1,13,77,47,38,2020-21,137
5,5-2-3,33,35,55,38,2020-21,123
6,5-3-2,23,51,55,38,2020-21,129
7,5-4-1,13,64,55,38,2020-21,132
0,3-4-3,36,65,41,1,2021-22,142
1,3-5-2,25,76,41,1,2021-22,142
2,4-3-3,36,53,52,1,2021-22,141
3,4-4-2,25,65,52,1,2021-22,142
4,4-5-1,13,76,52,1,2021-22,141
5,5-2-3,36,37,59,1,2021-22,132
6,5-3-2,25,53,59,1,2021-22,137
7,5-4-1,13,65,59,1,2021-22,137
0,3-4-3,35,40,47,2,2021-22,122
1,3-5-2,27,49,47,2,2021-22,123
2,4-3-3,35,31,61,2,2021-22,127
3,4-4-2,27,40,61,2,2021-22,128
4,4-5-1,16,49,61,2,2021-22,126
5,5-2-3,35,22,73,2,2021-22,130
6,5-3-2,27,31,73,2,2021-22,131
7,5-4-1,16,40,73,2,2021-22,129
0,3-4-3,35,53,31,3,2021-22,119
1,3-5-2,24,63,31,3,2021-22,118
2,4-3-3,35,43,39,3,2021-22,117
3,4-4-2,24,53,39,3,2021-22,116
4,4-5-1,12,63,39,3,2021-22,114
5,5-2-3,35,33,46,3,2021-22,114
6,5-3-2,24,43,46,3,2021-22,113
7,5-4-1,12,53,46,3,2021-22,111
0,3-4-3,38,48,37,4,2021-22,123
1,3-5-2,26,58,37,4,2021-22,121
2,4-3-3,38,37,46,4,2021-22,121
3,4-4-2,26,48,46,4,2021-22,120
4,4-5-1,13,58,46,4,2021-22,117
5,5-2-3,38,25,55,4,2021-22,118
6,5-3-2,26,37,55,4,2021-22,118
7,5-4-1,13,48,55,4,2021-22,116
0,3-4-3,31,48,44,5,2021-22,123
1,3-5-2,22,57,44,5,2021-22,123
2,4-3-3,31,38,56,5,2021-22,125
3,4-4-2,22,48,56,5,2021-22,126
4,4-5-1,12,57,56,5,2021-22,125
5,5-2-3,31,27,66,5,2021-22,124
6,5-3-2,22,38,66,5,2021-22,126
7,5-4-1,12,48,66,5,2021-22,126
0,3-4-3,28,46,35,6,2021-22,109
1,3-5-2,20,56,35,6,2021-22,111
2,4-3-3,28,36,42,6,2021-22,106
3,4-4-2,20,46,42,6,2021-22,108
4,4-5-1,11,56,42,6,2021-22,109
5,5-2-3,28,25,49,6,2021-22,102
6,5-3-2,20,36,49,6,2021-22,105
7,5-4-1,11,46,49,6,2021-22,106
0,3-4-3,32,43,36,7,2021-22,111
1,3-5-2,23,51,36,7,2021-22,110
2,4-3-3,32,33,45,7,2021-22,110
3,4-4-2,23,43,45,7,2021-22,111
4,4-5-1,13,51,45,7,2021-22,109
5,5-2-3,32,23,54,7,2021-22,109
6,5-3-2,23,33,54,7,2021-22,110
7,5-4-1,13,43,54,7,2021-22,110
0,3-4-3,41,48,39,8,2021-22,128
1,3-5-2,32,58,39,8,2021-22,129
2,4-3-3,41,37,47,8,2021-22,125
3,4-4-2,32,48,47,8,2021-22,127
4,4-5-1,20,58,47,8,2021-22,125
5,5-2-3,41,26,55,8,2021-22,122
6,5-3-2,32,37,55,8,2021-22,124
7,5-4-1,20,48,55,8,2021-22,123
0,3-4-3,36,81,37,9,2021-22,154
1,3-5-2,28,94,37,9,2021-22,159
2,4-3-3,36,66,47,9,2021-22,149
3,4-4-2,28,81,47,9,2021-22,156
4,4-5-1,16,94,47,9,2021-22,157
5,5-2-3,36,48,56,9,2021-22,140
6,5-3-2,28,66,56,9,2021-22,150
7,5-4-1,16,81,56,9,2021-22,153
0,3-4-3,29,47,50,10,2021-22,126
1,3-5-2,21,57,50,10,2021-22,128
2,4-3-3,29,37,60,10,2021-22,126
3,4-4-2,21,47,60,10,2021-22,128
4,4-5-1,12,57,60,10,2021-22,129
5,5-2-3,29,26,69,10,2021-22,124
6,5-3-2,21,37,69,10,2021-22,127
7,5-4-1,12,47,69,10,2021-22,128
0,3-4-3,25,43,36,11,2021-22,104
1,3-5-2,18,53,36,11,2021-22,107
2,4-3-3,25,33,44,11,2021-22,102
3,4-4-2,18,43,44,11,2021-22,105
4,4-5-1,9,53,44,11,2021-22,106
5,5-2-3,25,23,52,11,2021-22,100
6,5-3-2,18,33,52,11,2021-22,103
7,5-4-1,9,43,52,11,2021-22,104
0,3-4-3,36,42,44,12,2021-22,122
1,3-5-2,26,51,44,12,2021-22,121
2,4-3-3,36,32,56,12,2021-22,124
3,4-4-2,26,42,56,12,2021-22,124
4,4-5-1,14,51,56,12,2021-22,121
5,5-2-3,36,22,68,12,2021-22,126
6,5-3-2,26,32,68,12,2021-22,126
7,5-4-1,14,42,68,12,2021-22,124
0,3-4-3,31,53,39,13,2021-22,123
1,3-5-2,22,62,39,13,2021-22,123
2,4-3-3,31,43,50,13,2021-22,124
3,4-4-2,22,53,50,13,2021-22,125
4,4-5-1,12,62,50,13,2021-22,124
5,5-2-3,31,30,59,13,2021-22,120
6,5-3-2,22,43,59,13,2021-22,124
7,5-4-1,12,53,59,13,2021-22,124
0,3-4-3,31,50,34,14,2021-22,115
1,3-5-2,22,60,34,14,2021-22,116
2,4-3-3,31,40,43,14,2021-22,114
3,4-4-2,22,50,43,14,2021-22,115
4,4-5-1,13,60,43,14,2021-22,116
5,5-2-3,31,28,52,14,2021-22,111
6,5-3-2,22,40,52,14,2021-22,114
7,5-4-1,13,50,52,14,2021-22,115
0,3-4-3,27,52,44,15,2021-22,123
1,3-5-2,18,63,44,15,2021-22,125
2,4-3-3,27,41,56,15,2021-22,124
3,4-4-2,18,52,56,15,2021-22,126
4,4-5-1,9,63,56,15,2021-22,128
5,5-2-3,27,28,67,15,2021-22,122
6,5-3-2,18,41,67,15,2021-22,126
7,5-4-1,9,52,67,15,2021-22,128
0,3-4-3,28,62,33,16,2021-22,123
1,3-5-2,19,73,33,16,2021-22,125
2,4-3-3,28,47,42,16,2021-22,117
3,4-4-2,19,62,42,16,2021-22,123
4,4-5-1,10,73,42,16,2021-22,125
5,5-2-3,28,32,51,16,2021-22,111
6,5-3-2,19,47,51,16,2021-22,117
7,5-4-1,10,62,51,16,2021-22,123
0,3-4-3,32,51,38,17,2021-22,121
1,3-5-2,24,61,38,17,2021-22,123
2,4-3-3,32,41,47,17,2021-22,120
3,4-4-2,24,51,47,17,2021-22,122
4,4-5-1,12,61,47,17,2021-22,120
5,5-2-3,32,29,55,17,2021-22,116
6,5-3-2,24,41,55,17,2021-22,120
7,5-4-1,12,51,55,17,2021-22,118
0,3-4-3,16,42,41,18,2021-22,99
1,3-5-2,11,49,41,18,2021-22,101
2,4-3-3,16,35,50,18,2021-22,101
3,4-4-2,11,42,50,18,2021-22,103
4,4-5-1,6,49,50,18,2021-22,105
5,5-2-3,16,27,59,18,2021-22,102
6,5-3-2,11,35,59,18,2021-22,105
7,5-4-1,6,42,59,18,2021-22,107
0,3-4-3,36,62,34,19,2021-22,132
1,3-5-2,26,75,34,19,2021-22,135
2,4-3-3,36,48,43,19,2021-22,127
3,4-4-2,26,62,43,19,2021-22,131
4,4-5-1,15,75,43,19,2021-22,133
5,5-2-3,36,33,51,19,2021-22,120
6,5-3-2,26,48,51,19,2021-22,125
7,5-4-1,15,62,51,19,2021-22,128
0,3-4-3,34,46,24,20,2021-22,104
1,3-5-2,26,55,24,20,2021-22,105
2,4-3-3,34,37,31,20,2021-22,102
3,4-4-2,26,46,31,20,2021-22,103
4,4-5-1,14,55,31,20,2021-22,100
5,5-2-3,34,26,38,20,2021-22,98
6,5-3-2,26,37,38,20,2021-22,101
7,5-4-1,14,46,38,20,2021-22,98
0,3-4-3,23,60,40,21,2021-22,123
1,3-5-2,16,71,40,21,2021-22,127
2,4-3-3,23,46,48,21,2021-22,117
3,4-4-2,16,60,48,21,2021-22,124
4,4-5-1,8,71,48,21,2021-22,127
5,5-2-3,23,31,56,21,2021-22,110
6,5-3-2,16,46,56,21,2021-22,118
7,5-4-1,8,60,56,21,2021-22,124
0,3-4-3,29,59,34,22,2021-22,122
1,3-5-2,20,70,34,22,2021-22,124
2,4-3-3,29,47,45,22,2021-22,121
3,4-4-2,20,59,45,22,2021-22,124
4,4-5-1,11,70,45,22,2021-22,126
5,5-2-3,29,34,55,22,2021-22,118
6,5-3-2,20,47,55,22,2021-22,122
7,5-4-1,11,59,55,22,2021-22,125
0,3-4-3,30,45,36,23,2021-22,111
1,3-5-2,22,54,36,23,2021-22,112
2,4-3-3,30,35,46,23,2021-22,111
3,4-4-2,22,45,46,23,2021-22,113
4,4-5-1,13,54,46,23,2021-22,113
5,5-2-3,30,24,55,23,2021-22,109
6,5-3-2,22,35,55,23,2021-22,112
7,5-4-1,13,45,55,23,2021-22,113
0,3-4-3,25,59,35,24,2021-22,119
1,3-5-2,18,71,35,24,2021-22,124
2,4-3-3,25,46,43,24,2021-22,114
3,4-4-2,18,59,43,24,2021-22,120
4,4-5-1,9,71,43,24,2021-22,123
5,5-2-3,25,32,51,24,2021-22,108
6,5-3-2,18,46,51,24,2021-22,115
7,5-4-1,9,59,51,24,2021-22,119
0,3-4-3,23,59,42,25,2021-22,124
1,3-5-2,17,69,42,25,2021-22,128
2,4-3-3,23,46,53,25,2021-22,122
3,4-4-2,17,59,53,25,2021-22,129
4,4-5-1,9,69,53,25,2021-22,131
5,5-2-3,23,32,63,25,2021-22,118
6,5-3-2,17,46,63,25,2021-22,126
7,5-4-1,9,59,63,25,2021-22,131
0,3-4-3,34,64,40,26,2021-22,138
1,3-5-2,25,76,40,26,2021-22,141
2,4-3-3,34,52,52,26,2021-22,138
3,4-4-2,25,64,52,26,2021-22,141
4,4-5-1,13,76,52,26,2021-22,141
5,5-2-3,34,37,64,26,2021-22,135
6,5-3-2,25,52,64,26,2021-22,141
7,5-4-1,13,64,64,26,2021-22,141
0,3-4-3,29,39,44,27,2021-22,112
1,3-5-2,22,47,44,27,2021-22,113
2,4-3-3,29,30,55,27,2021-22,114
3,4-4-2,22,39,55,27,2021-22,116
4,4-5-1,11,47,55,27,2021-22,113
5,5-2-3,29,21,64,27,2021-22,114
6,5-3-2,22,30,64,27,2021-22,116
7,5-4-1,11,39,64,27,2021-22,114
0,3-4-3,45,59,50,28,2021-22,154
1,3-5-2,32,72,50,28,2021-22,154
2,4-3-3,45,46,64,28,2021-22,155
3,4-4-2,32,59,64,28,2021-22,155
4,4-5-1,17,72,64,28,2021-22,153
5,5-2-3,45,32,76,28,2021-22,153
6,5-3-2,32,46,76,28,2021-22,154
7,5-4-1,17,59,76,28,2021-22,152
0,3-4-3,41,45,40,29,2021-22,126
1,3-5-2,29,54,40,29,2021-22,123
2,4-3-3,41,35,52,29,2021-22,128
3,4-4-2,29,45,52,29,2021-22,126
4,4-5-1,17,54,52,29,2021-22,123
5,5-2-3,41,25,61,29,2021-22,127
6,5-3-2,29,35,61,29,2021-22,125
7,5-4-1,17,45,61,29,2021-22,123
0,3-4-3,23,48,35,30,2021-22,106
1,3-5-2,18,56,35,30,2021-22,109
2,4-3-3,23,38,42,30,2021-22,103
3,4-4-2,18,48,42,30,2021-22,108
4,4-5-1,13,56,42,30,2021-22,111
5,5-2-3,23,27,49,30,2021-22,99
6,5-3-2,18,38,49,30,2021-22,105
7,5-4-1,13,48,49,30,2021-22,110
0,3-4-3,30,54,39,31,2021-22,123
1,3-5-2,22,66,39,31,2021-22,127
2,4-3-3,30,42,48,31,2021-22,120
3,4-4-2,22,54,48,31,2021-22,124
4,4-5-1,13,66,48,31,2021-22,127
5,5-2-3,30,29,57,31,2021-22,116
6,5-3-2,22,42,57,31,2021-22,121
7,5-4-1,13,54,57,31,2021-22,124
0,3-4-3,37,67,30,32,2021-22,134
1,3-5-2,27,80,30,32,2021-22,137
2,4-3-3,37,54,37,32,2021-22,128
3,4-4-2,27,67,37,32,2021-22,131
4,4-5-1,15,80,37,32,2021-22,132
5,5-2-3,37,40,44,32,2021-22,121
6,5-3-2,27,54,44,32,2021-22,125
7,5-4-1,15,67,44,32,2021-22,126
0,3-4-3,39,60,43,33,2021-22,142
1,3-5-2,30,72,43,33,2021-22,145
2,4-3-3,39,47,53,33,2021-22,139
3,4-4-2,30,60,53,33,2021-22,143
4,4-5-1,17,72,53,33,2021-22,142
5,5-2-3,39,33,62,33,2021-22,134
6,5-3-2,30,47,62,33,2021-22,139
7,5-4-1,17,60,62,33,2021-22,139
0,3-4-3,46,46,34,34,2021-22,126
1,3-5-2,37,54,34,34,2021-22,125
2,4-3-3,46,37,43,34,2021-22,126
3,4-4-2,37,46,43,34,2021-22,126
4,4-5-1,24,54,43,34,2021-22,121
5,5-2-3,46,28,52,34,2021-22,126
6,5-3-2,37,37,52,34,2021-22,126
7,5-4-1,24,46,52,34,2021-22,122
0,3-4-3,28,50,38,35,2021-22,116
1,3-5-2,20,60,38,35,2021-22,118
2,4-3-3,28,40,49,35,2021-22,117
3,4-4-2,20,50,49,35,2021-22,119
4,4-5-1,11,60,49,35,2021-22,120
5,5-2-3,28,30,59,35,2021-22,117
6,5-3-2,20,40,59,35,2021-22,119
7,5-4-1,11,50,59,35,2021-22,120
0,3-4-3,39,73,41,36,2021-22,153
1,3-5-2,26,87,41,36,2021-22,154
2,4-3-3,39,57,53,36,2021-22,149
3,4-4-2,26,73,53,36,2021-22,152
4,4-5-1,13,87,53,36,2021-22,153
5,5-2-3,39,41,65,36,2021-22,145
6,5-3-2,26,57,65,36,2021-22,148
7,5-4-1,13,73,65,36,2021-22,151
0,3-4-3,34,56,34,37,2021-22,124
1,3-5-2,25,67,34,37,2021-22,126
2,4-3-3,34,45,43,37,2021-22,122
3,4-4-2,25,56,43,37,2021-22,124
4,4-5-1,13,67,43,37,2021-22,123
5,5-2-3,34,31,51,37,2021-22,116
6,5-3-2,25,45,51,37,2021-22,121
7,5-4-1,13,56,51,37,2021-22,120
0,3-4-3,34,56,32,38,2021-22,122
1,3-5-2,24,69,32,38,2021-22,125
2,4-3-3,34,43,41,38,2021-22,118
3,4-4-2,24,56,41,38,2021-22,121
4,4-5-1,13,69,41,38,2021-22,123
5,5-2-3,34,30,49,38,2021-22,113
6,5-3-2,24,43,49,38,2021-22,116
7,5-4-1,13,56,49,38,2021-22,118
